,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
5835,5e92c5c8d1add8fec462ce22,000001.SSE,2014-10-29,225067075.637,35.159,2373.03,2381.643,2339.712,2343.72,1.5039,2337.871,000001.SH,265588687.0
5836,5e92c5c8d1add8fec462ce21,000001.SSE,2014-10-30,226611178.101,18.046,2391.076,2397.256,2365.919,2371.891,0.7605,2373.03,000001.SH,294645943.0
5837,5e92c5c8d1add8fec462ce20,000001.SSE,2014-10-31,249915443.128,29.102,2420.178,2423.596,2384.483,2393.178,1.2171,2391.076,000001.SH,325763522.0
5838,5e92c5c8d1add8fec462ce1f,000001.SSE,2014-11-03,227196589.983,9.854,2430.032,2436.785,2418.167,2425.225,0.4072,2420.178,000001.SH,298821235.0
5839,5e92c5c8d1add8fec462ce1e,000001.SSE,2014-11-04,226503880.876,0.645,2430.677,2435.223,2417.221,2428.271,0.0265,2430.032,000001.SH,309013039.0
5840,5e92c5c8d1add8fec462ce1d,000001.SSE,2014-11-05,201859409.074,-11.423,2419.254,2434.363,2415.502,2432.169,-0.47,2430.677,000001.SH,263606654.0
5841,5e92c5c8d1add8fec462ce1c,000001.SSE,2014-11-06,179644372.908,6.61,2425.864,2426.89,2401.75,2419.617,0.2732,2419.254,000001.SH,222005088.0
5842,5e92c5c8d1add8fec462ce1b,000001.SSE,2014-11-07,244157568.362,-7.693,2418.171,2454.423,2407.442,2427.898,-0.3171,2425.864,000001.SH,291172245.0
5843,5e92c5c8d1add8fec462ce1a,000001.SSE,2014-11-10,245233684.265,55.502,2473.673,2474.156,2428.185,2436.628,2.2952,2418.171,000001.SH,300628203.0
5844,5e92c5c8d1add8fec462ce19,000001.SSE,2014-11-11,331257388.545,-4.0,2469.673,2508.623,2445.96,2483.648,-0.1617,2473.673,000001.SH,411904065.0
5845,5e92c5c8d1add8fec462ce18,000001.SSE,2014-11-12,215738617.221,24.803,2494.476,2494.917,2444.814,2454.602,1.0043,2469.673,000001.SH,252933852.0
