,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
46,600962.SSE,国投中鲁,定期报告事后审核意见函,2020-04-24 17:10:24,关于国投中鲁果汁股份有限公司的定期报告事后审核意见函,SSE
47,600139.SSE,西部资源,问询函,2020-04-23 22:00:01,关于四川西部资源控股股份有限公司的问询函,SSE
48,600257.SSE,大湖股份,问询函,2020-04-23 19:20:01,关于对大湖水殖股份有限公司现金收购资产相关事项的二次问询函,SSE
49,603217.SSE,元利科技,定期报告事后审核意见函,2020-04-23 17:30:01,关于元利化学集团股份有限公司的定期报告事后审核意见函,SSE
50,600677.SSE,*ST航通,问询函,2020-04-22 22:40:02,关于航天通信控股集团股份有限公司的问询函,SSE
51,603997.SSE,继峰股份,定期报告事后审核意见函,2020-04-22 17:50:01,关于宁波继峰汽车零部件股份有限公司的定期报告事后审核意见函,SSE
52,600127.SSE,金健米业,定期报告事后审核意见函,2020-04-22 17:10:04,关于金健米业股份有限公司2019年年度报告的信息披露问询函,SSE
53,600792.SSE,云煤能源,定期报告事后审核意见函,2020-04-22 17:10:04,关于云南煤业能源股份有限公司2019年年度报告的信息披露监管问询函,SSE
54,600416.SSE,*ST湘电,定期报告事后审核意见函,2020-04-21 17:10:22,关于湘潭电机股份有限公司2019年年度报告的信息披露监管问询函,SSE
55,600058.SSE,五矿发展,定期报告事后审核意见函,2020-04-21 17:10:22,关于五矿发展股份有限公司的定期报告事后审核意见函,SSE
56,600069.SSE,银鸽投资,问询函,2020-04-17 20:50:01,关于河南银鸽实业投资股份有限公司的问询函,SSE
57,600067.SSE,冠城大通,定期报告事后审核意见函,2020-04-17 17:50:01,关于冠城大通股份有限公司的定期报告事后审核意见函,SSE
58,600257.SSE,大湖股份,问询函,2020-04-14 20:20:02,关于大湖水殖股份有限公司现金收购资产事项的问询函,SSE
59,603887.SSE,城地股份,定期报告事后审核意见函,2020-04-14 17:20:01,关于上海城地香江数据科技股份有限公司的信息披露监管问询函,SSE
60,600444.SSE,国机通用,定期报告事后审核意见函,2020-04-14 17:10:04,关于国机通用机械科技股份有限公司2019年年度报告的信息披露监管问询函,SSE
61,603303.SSE,得邦照明,定期报告事后审核意见函,2020-04-14 17:10:04,关于横店集团得邦照明股份有限公司2019年年度报告的信息披露监管问询函,SSE
62,603318.SSE,派思股份,定期报告事后审核意见函,2020-04-14 17:10:04,关于大连派思燃气系统股份有限公司的定期报告事后审核意见函,SSE
