,gsdm,gsjc,fhrq,hjlb,ck,hfck
143,000564,供销大集,2019-12-10,关注函,CDD00056456240.pdf,
144,000673,当代东方,2019-12-10,关注函,CDD00067356260.pdf,CDD000673562601677HF.pdf
145,000010,*ST美丽,2019-12-06,关注函,CDD00001056234.pdf,CDD000010562341683HF.pdf
146,000505,京粮控股,2019-12-04,许可类重组问询函,CDD00050556223.pdf,CDD000505562231666HF.pdf
147,000793,华闻集团,2019-11-29,关注函,CDD00079356200.pdf,CDD000793562001668HF.pdf
148,000609,中迪投资,2019-11-27,关注函,CDD00060956157.pdf,CDD000609561571665HF.pdf
149,000007,全新好,2019-11-26,关注函,CDD00000756162.pdf,CDD000007561621664HF.pdf
150,000040,东旭蓝天,2019-11-22,问询函,CDD00004056152.pdf,
151,000662,天夏智慧,2019-11-20,关注函,CDD00066256143.pdf,CDD000662561431662HF.pdf
152,000413,东旭光电,2019-11-19,问询函,CDD00041356134.pdf,
153,000629,攀钢钒钛,2019-11-18,非许可类重组问询函,CDD00062956121.pdf,CDD000629561211660HF.pdf
154,000708,中信特钢,2019-11-18,非许可类重组问询函,CDD00070856113.pdf,CDD000708561131656HF.pdf
155,000007,全新好,2019-11-18,关注函,CDD00000756126.pdf,CDD000007561261663HF.pdf
156,000007,全新好,2019-11-15,关注函,CDD00000756110.pdf,CDD000007561101658HF.pdf
157,000803,金宇车城,2019-11-07,关注函,CDD00080356085.pdf,CDD000803560851651HF.pdf
158,000691,亚太实业,2019-11-07,非许可类重组问询函,CDD00069156068.pdf,CDD000691560681655HF.pdf
159,000939,*ST凯迪,2019-11-06,关注函,CDD00093955994.pdf,
160,000504,*ST生物,2019-11-05,非许可类重组问询函,CDD00050456069.pdf,CDD000504560691652HF.pdf
161,000409,ST地矿,2019-11-05,关注函,CDD00040956073.pdf,CDD000409560731649HF.pdf
162,000668,荣丰控股,2019-10-31,非许可类重组问询函,CDD00066856033.pdf,CDD000668560331647HF.pdf
163,000587,金洲慈航,2019-10-31,关注函,CDD00058756036.pdf,CDD000587560361654HF.pdf
164,000677,恒天海龙,2019-10-31,关注函,CDD00067756048.pdf,CDD000677560481657HF.pdf
165,000168,*ST舜喆B,2019-10-30,关注函,CDD00016856035.pdf,CDD000168560351661HF.pdf
166,000637,茂化实华,2019-10-30,关注函,CDD00063756043.pdf,
167,000711,京蓝科技,2019-10-28,关注函,CDD00071156026.pdf,CDD000711560261646HF.pdf
168,000158,常山北明,2019-10-22,关注函,CDD00015855999.pdf,CDD000158559991669HF.pdf
169,000802,北京文化,2019-10-17,关注函,CDD00080255960.pdf,CDD000802559601667HF.pdf
170,000007,全新好,2019-10-17,关注函,CDD00000755944.pdf,CDD000007559441643HF.pdf
171,000927,一汽夏利,2019-10-17,非许可类重组问询函,CDD00092755917.pdf,CDD000927559171645HF.pdf
172,000900,现代投资,2019-10-11,许可类重组问询函,CDD00090055923.pdf,CDD000900559231639HF.pdf
173,000502,绿景控股,2019-10-10,关注函,CDD00050255919.pdf,CDD000502559191638HF.pdf
174,000018,*ST神城,2019-10-10,半年报问询函,CDD00001855904.pdf,
175,000975,银泰资源,2019-10-10,许可类重组问询函,CDD00097555920.pdf,CDD000975559201642HF.pdf
176,000571,*ST大洲,2019-10-10,半年报问询函,CDD00057155760.pdf,CDD000571557601641HF.pdf
177,000592,平潭发展,2019-09-29,半年报问询函,CDD00059255865.pdf,CDD000592558651648HF.pdf
178,000410,*ST沈机,2019-09-27,半年报问询函,CDD00041055830.pdf,CDD000410558301634HF.pdf
179,000422,ST宜化,2019-09-27,半年报问询函,CDD00042255848.pdf,CDD000422558481637HF.pdf
180,000518,四环生物,2019-09-24,关注函,CDD00051855867.pdf,CDD000518558671635HF.pdf
181,000506,中润资源,2019-09-23,半年报问询函,CDD00050655827.pdf,CDD000506558271636HF.pdf
182,000971,*ST高升,2019-09-20,关注函,CDD00097155839.pdf,CDD000971558391633HF.pdf
183,000523,广州浪奇,2019-09-19,半年报问询函,CDD00052355835.pdf,CDD000523558351631HF.pdf
184,000587,金洲慈航,2019-09-19,半年报问询函,CDD00058755829.pdf,CDD000587558291640HF.pdf
185,000813,德展健康,2019-09-16,半年报问询函,CDD00081355778.pdf,CDD000813557781630HF.pdf
186,000982,*ST 中绒,2019-09-16,半年报问询函,CDD00098255814.pdf,CDD000982558141650HF.pdf
187,000939,*ST凯迪,2019-09-12,半年报问询函,CDD00093955777.pdf,
188,000166,申万宏源,2019-09-12,半年报问询函,CDD00016655799.pdf,CDD000166557991627HF.pdf
189,000752,*ST西发,2019-09-11,半年报问询函,CDD00075255734.pdf,CDD000752557341704HF.pdf
190,000971,*ST高升,2019-09-11,关注函,CDD00097155794.pdf,CDD000971557941632HF.pdf
191,000686,东北证券,2019-09-11,半年报问询函,CDD00068655792.pdf,CDD000686557921628HF.pdf
192,000835,长城动漫,2019-09-11,半年报问询函,CDD00083555772.pdf,CDD000835557721653HF.pdf
193,000800,一汽轿车,2019-09-09,许可类重组问询函,CDD00080055779.pdf,CDD000800557791626HF.pdf
194,000953,*ST河化,2019-09-04,许可类重组问询函,CDD00095355735.pdf,CDD000953557351625HF.pdf
195,000595,宝塔实业,2019-09-03,关注函,CDD00059555749.pdf,CDD000595557491621HF.pdf
196,000038,深大通,2019-08-30,关注函,CDD00003855720.pdf,CDD000038557201619HF.pdf
197,000043,中航善达,2019-08-29,许可类重组问询函,CDD00004355710.pdf,CDD000043557101620HF.pdf
198,000981,ST银亿,2019-08-26,关注函,CDD00098155712.pdf,CDD000981557121617HF.pdf
199,000669,金鸿控股,2019-08-23,非许可类重组问询函,CDD00066955698.pdf,CDD000669556981615HF.pdf
200,000637,茂化实华,2019-08-23,关注函,CDD00063755692.pdf,CDD000637556921622HF.pdf
201,000737,ST南风,2019-08-21,关注函,CDD00073755676.pdf,CDD000737556761614HF.pdf
202,000010,*ST美丽,2019-08-15,半年报问询函,CDD00001055599.pdf,CDD000010555991618HF.pdf
203,000662,天夏智慧,2019-08-15,关注函,CDD00066255655.pdf,CDD000662556551644HF.pdf
204,000967,盈峰环境,2019-08-15,关注函,CDD00096755659.pdf,CDD000967556591611HF.pdf
205,000982,*ST 中绒,2019-08-14,关注函,CDD00098255649.pdf,CDD000982556491610HF.pdf
206,000557,西部创业,2019-08-07,关注函,CDD00055755602.pdf,CDD000557556021609HF.pdf
207,000038,深大通,2019-08-07,关注函,CDD00003855600.pdf,CDD000038556001604HF.pdf
208,000890,法 尔 胜,2019-08-01,关注函,CDD00089055564.pdf,CDD000890555641608HF.pdf
209,000603,盛达矿业,2019-07-23,关注函,CDD00060355523.pdf,CDD000603555231597HF.pdf
210,000622,恒立实业,2019-07-23,关注函,CDD00062255504.pdf,CDD000622555041598HF.pdf
211,000150,宜华健康,2019-07-23,关注函,CDD00015055501.pdf,CDD000150555011624HF.pdf
212,000911,*ST 南糖,2019-07-19,关注函,CDD00091155480.pdf,CDD000911554801599HF.pdf
213,000716,黑芝麻,2019-07-17,关注函,CDD00071655470.pdf,CDD000716554701595HF.pdf
214,000958,东方能源,2019-07-17,许可类重组问询函,CDD00095855475.pdf,CDD000958554751596HF.pdf
215,000688,国城矿业,2019-07-17,关注函,CDD00068855473.pdf,CDD000688554731593HF.pdf
216,000890,法 尔 胜,2019-07-16,关注函,CDD00089055469.pdf,
217,000656,金科股份,2019-07-10,关注函,CDD00065655419.pdf,CDD000656554191583HF.pdf
218,000766,通化金马,2019-07-08,关注函,CDD00076655406.pdf,CDD000766554061602HF.pdf
219,000723,美锦能源,2019-07-01,关注函,CDD00072355209.pdf,CDD000723552091581HF.pdf
220,000004,国农科技,2019-06-28,许可类重组问询函,CDD00000455187.pdf,CDD000004551871578HF.pdf
221,000510,金路集团,2019-06-28,关注函,CDD00051055200.pdf,CDD000510552001575HF.pdf
222,000892,欢瑞世纪,2019-06-26,年报问询函,CDD00089254883.pdf,CDD000892548831585HF.pdf
223,000586,汇源通信,2019-06-21,关注函,CDD00058655110.pdf,CDD000586551101600HF.pdf
224,000586,汇源通信,2019-06-21,关注函,CDD00058655115.pdf,CDD000586551151601HF.pdf
225,000586,汇源通信,2019-06-21,关注函,CDD00058655120.pdf,CDD000586551201594HF.pdf
226,000818,航锦科技,2019-06-20,许可类重组问询函,CDD00081855078.pdf,CDD000818550781566HF.pdf
227,000408,藏格控股,2019-06-19,关注函,CDD00040855096.pdf,CDD000408550961559HF.pdf
228,000939,*ST凯迪,2019-06-19,年报问询函,CDD00093955083.pdf,
229,000571,*ST大洲,2019-06-19,关注函,CDD00057155075.pdf,CDD000571550751572HF.pdf
230,000587,金洲慈航,2019-06-18,年报问询函,CDD00058754839.pdf,CDD000587548391587HF.pdf
231,000996,中国中期,2019-06-18,年报问询函,CDD00099654858.pdf,CDD000996548581588HF.pdf
232,000971,*ST高升,2019-06-18,年报问询函,CDD00097154868.pdf,CDD000971548681584HF.pdf
233,000917,电广传媒,2019-06-17,年报问询函,CDD00091754877.pdf,CDD000917548771591HF.pdf
234,000661,长春高新,2019-06-13,许可类重组问询函,CDD00066154983.pdf,CDD000661549831561HF.pdf
235,000861,海印股份,2019-06-13,关注函,CDD00086154980.pdf,CDD000861549801563HF.pdf
236,000564,供销大集,2019-06-12,年报问询函,CDD00056454907.pdf,CDD000564549071571HF.pdf
237,000622,恒立实业,2019-06-06,年报问询函,CDD00062254845.pdf,CDD000622548451560HF.pdf
238,000908,景峰医药,2019-06-06,年报问询函,CDD00090854837.pdf,CDD000908548371580HF.pdf
239,000785,武汉中商,2019-06-06,许可类重组问询函,CDD00078554815.pdf,CDD000785548151537HF.pdf
240,000662,天夏智慧,2019-06-05,年报问询函,CDD00066254401.pdf,CDD000662544011569HF.pdf
241,000611,*ST天首,2019-06-04,年报问询函,CDD00061154734.pdf,CDD000611547341552HF.pdf
